main_headline,snippet,,,,,,,,,,,,
Study Links Healthier Weight in Children With Strict Laws on School Snacks,"The study, conducted over three years in 40 states, is likely to stoke the debate over government efforts to reduce obesity rates.",,,,,,,,,,,,
Strategies for Hot-Weather Exercise,"A chilled collar or an icy drink can help keep an athlete cool in hot weather. Dousing the head with water may provide added benefits, a new study found.",,,,,,,,,,,,
How to Make Summer Your Training Partner,Athletes' performance actually may improve as a result of their struggles with soaring temperatures.,,,,,,,,,,,,
Weight-Loss Surgery May Prevent Diabetes,A new study shows that bariatric surgery not only produced sustained weight loss in obese men and women but substantially reduced their odds of developing Type 2 diabetes.,,,,,,,,,,,,
Finding Your Ideal Running Form,"Many experts say runners should be taught the best form, but new research suggests that runners often improve their form just by running more.",,,,,,,,,,,,
What's Your Workout? A Food Star's Fitness Plan,The Food Network chef Robert Irvine manages to combine a fast-paced culinary career with a passion for fitness.,,,,,,,,,,,,
The Benefits of Middle-Age Fitness,"Even if you haven't previously bothered with exercise, getting fit in middle age appears to reshape the landscape of aging.",,,,,,,,,,,,
How Testosterone May Alter the Brain After Exercise,New science on sex hormones and the brain sheds light on how jogging and other workouts may improve the ability to remember and think.,,,,,,,,,,,,
Exaggerating Your Race Results,"Why do athletes shave a few minutes off their times, or add a few pounds to the amount they can bench press?",,,,,,,,,,,,
Really?: Adding Milk to Tea Destroys its Antioxidants,Researchers have been surprised to find that adding milk may strip tea of some of its beneficial effects.,,,,,,,,,,,,
"In 'Obesity Paradox,' Thinner May Mean Sicker",A slow but steady accumulation of evidence is inspiring some experts to re-examine assumptions about the role of body fat in certain chronic diseases.,,,,,,,,,,,,
BPA Levels Tied to Obesity in Youths,"A study has found that the risk of obesity is higher among children with high urinary levels of the chemical, which is widely used in food packaging.",,,,,,,,,,,,
Really?: Always Consume Carbs Before Surgery,"Having a drink containing carbohydrates up to two hours before surgery may aid recovery, but more research is needed.",,,,,,,,,,,,
How Exercise Can Help You Master New Skills,"Physical exercise may help the brain to consolidate and store muscle memories, a new study found.",,,,,,,,,,,,
Obese Children Less Sensitive to Taste,"A connection is not clear, but German researchers suggested that the hormone leptin might affect both body weight and taste buds.",,,,,,,,,,,,
Do Exercise Programs Help Children Stay Fit?,"Exercise programs during or after school did little to make young people more active, a new study found. So how can we get children to move more?",,,,,,,,,,,,
E-Health Opportunities for Seniors,Connecting more older Americans to the Internet is expected to improve opportunities to protect their well-being and reduce national costs for care.,,,,,,,,,,,,
"Cholesterol Is Falling in Adults, Study Finds","Changes in the amount of trans fats in the American diet may be forcing down cholesterol levels in adults, new research suggests.",,,,,,,,,,,,
Get Up. Get Out. Don't Sit.,Two new studies make a convincing case that sitting too much will shorten your life.,,,,,,,,,,,,
Children Like Spicy Red Cheetos; Schools Don't,Some schools are trying to ban a chip that is high in salt and fat and leaves a trail of bright red fingerprints.,,,,,,,,,,,,
Diabetes Study Ends Early With a Surprising Result,Diet and weight loss did not prevent heart attacks and strokes in overweight and obese people with Type 2 diabetes.,,,,,,,,,,,,
Curbing the Enthusiasm on Daily Multivitamins,Experts are concerned about letting optimism about the potential benefits of nutritional supplements get ahead of the scientific evidence.,,,,,,,,,,,,
"In Fight Against Obesity, Drink Sizes Matter",History has shown that teaching people what is good for them is not enough. It must be accompanied by restrictions that curb unhealthy habits.,,,,,,,,,,,,
Study Questions Benefit of Extra Vitamin D,"The supplements have no effect on the most common blood markers for cardiovascular risk and death, a randomized trial indicates.",,,,,,,,,,,,
How to Carbo-Load for a Marathon,"There is one element that can still be tweaked in the days before a marathon, two new studies show: what to eat.",,,,,,,,,,,,
"For Omega-3s, Fish May Beat Pills","Taking supplements of omega-3 fatty acids does not have the same effect of reducing the risk of stroke as eating fish high in omega-3s, a study shows.",,,,,,,,,,,,
Doubt on Soy and Fiber as Menopause Aid,Researchers concluded that adding soy and fiber to the diet probably does not help prevent hot flashes and night sweats.,,,,,,,,,,,,
Updating the Message to Get Americans Moving,"If Americans know exercise is so good for them, why don't they take the message to heart? Maybe, some researchers say, the problem is the message.",,,,,,,,,,,,
Low Vitamin D Level Tied to Type 1 Diabetes,Researchers found that subjects with low blood levels of vitamin D were more likely to develop diabetes than those with higher levels.,,,,,,,,,,,,
"For Athletes, Risks From Ibuprofen Use",Many athletes take pre-emptive ibuprofen in hopes of preventing pain and soreness from exercise. New research shows the practice likely does more harm than good.,,,,,,,,,,,,
Obesity in Young Is Seen as Falling in Several Cities,Small but significant declines in childhood obesity offer the first indication that one of the nationÕs most intractable health problems may be reversing course.,,,,,,,,,,,,
Recipe for Resentment: Claims of Running Prowess,"Why does running arouse such passion? You don't hear gleeful chortling about the health hazards to master swimmers or cross-country skiers or cyclists who do 100-mile ""century"" rides.",,,,,,,,,,,,
Risks: Coffee Linked to Fewer Oral Cancer Deaths,"A large study of 968,432 initially healthy men and women has found that drinking coffee is associated with a reduced risk of death from oral cancers.",,,,,,,,,,,,
Live as Long as an Olympian,"Olympic athletes live longer, on average, than most of us. But certain sports, two new studies suggest, may be better than others when it comes to extending lifespan.",,,,,,,,,,,,
B.M.I. Can Predict Health Risks,"For certain health problems, body mass index, derived from the ratio of height to weight, is the best overall predictor, a new study says.",,,,,,,,,,,,
How Much Milk Should Children Drink?,"Researchers have established that for most children, drinking two cups a day achieves the right balance for vitamin D and iron.",,,,,,,,,,,,
Study Finds Modest Declines in Obesity Rates Among Young Children From Poor Families,"The share of 2-to-4-year-olds who were obese declined to 14.9 percent in 2010, down from 15.2 percent in 2003.",,,,,,,,,,,,
Really? Dieting Is a Short-lived New Year's Resolution,"A study of Google searches on diet-related keywords indicates that people are more likely to consider dieting in December and January, but interest drops off sharply thereafter.",,,,,,,,,,,,
What You Think You Know (but Don't) About Wise Eating,"Joe Schwarcz, a scientist at McGill University, sets the record straight on a host of widely circulated nutritional falsehoods.",,,,,,,,,,,,
"Good and Bad, the Little Things Add Up in Fitness","Perhaps the most dominant exercise-science theme of 2012 was that little things add up, with both positive and pernicious effects.",,,,,,,,,,,,
Really? Sugar-Free Gum Helps Prevent Cavities,"Sugar-free gum may reduce cavities, but the effect may have to do with the increased salivary flow caused by chewing the product, not its additives.",,,,,,,,,,,,
Do the Brain Benefits of Exercise Last?,"Exercise bolsters the structure and function of the brain. But if someone stops exercising, does the brain revert to its former state, much like unused muscles slacken?",,,,,,,,,,,,
How to Go Vegan,"Vegan chefs, who agree that changing eating habits overnight can be challenging, offered advice for stocking a vegan pantry and finding replacements for dairy products.",,,,,,,,,,,,
Training Insights From Star Athletes,"Along with natural athletic prowess, elite sports stars often have an edge, gained from an insight or realization, that helps them separate themselves from the pack.",,,,,,,,,,,,
Vitamin D Doesn't Reduce Knee Pain,"A two-year study found that vitamin D, which evidence suggested might slow osteoarthritis, neither reduced knee pain nor restored cartilage.",,,,,,,,,,,,
The Appetite Workout,"Can exercise help regulate how much we eat? New science suggests that if you stick with the right kind of exercise, you may change how your body interacts with food.",,,,,,,,,,,,
Fitness Center in a Hotel Room,A businesswomanÕs need for a workout routine leads a personal trainer to incorporate a bathtubÕs edge and a travel iron into a 30-minute exercise regimen.,,,,,,,,,,,,
An Unexpected Road Hazard: Obesity,"Obese drivers are more likely than normal weight drivers to die in car accidents, a new study finds.",,,,,,,,,,,,
Berries Lower Heart Attack Risk in Women,"Blueberries and strawberries have large concentrations of the flavonoid anthocyanin, which may help lower blood pressure and improve blood vessel function.",,,,,,,,,,,,
Is There One Right Way to Run?,A new study of barefoot tribespeople in Kenya raises tantalizing questions about just how humans really are meant to move.,,,,,,,,,,,,
Ask Well: Squats for Aging Knees,The Phys Ed columnist Gretchen Reynolds responds to a reader who is concerned about her painful knees.,,,,,,,,,,,,
Eggs Regain Reputation,A new analysis adds to the evidence that eggs are not the dietary sin doctors once thought they were.,,,,,,,,,,,,
Really? Bright Light and Exercise Trigger Migraines,"A study published in the journal Neurology found that unlike exercise, bright light may not be a cause of migraines. But more research is needed.",,,,,,,,,,,,
"Myths of Weight Loss Are Plentiful, Researcher Says",A study tries to set the record straight on unproven assumptions that have been repeated so often that even scientists have tended to believe them.,,,,,,,,,,,,
Malnourished Gain Lifesaver in Antibiotics,"Cheap antibiotics given with nutritional treatment could save tens of thousands of lives a year, researchers found.",,,,,,,,,,,,
"Gluten-Free, Whether You Need It or Not","Avoiding gluten is a must for those with celiac disease, but many people are going gluten-free in a bid for a healthy diet.",,,,,,,,,,,,
Most Food Illnesses Come From Greens,"Leafy vegetables like lettuce - not dreaded spoiled shellfish - cause the most food-borne illness, with contaminated poultry being responsible for the most deaths.",,,,,,,,,,,,
Really? Timing of Meals Affects Weight Loss,"Studies suggest that eating at later hours, especially main meals, can affect efforts to lose weight.",,,,,,,,,,,,
Treating Constipation in the Old,Scientists found that some laxatives had significant effects but that there was little or no evidence that enemas or increased fluid intake had any benefit.,,,,,,,,,,,,
Fitness May Lower Dementia Risk,"Being physically fit in midlife is associated with a lower risk of dementia in old age, a new study reports.",,,,,,,,,,,,
Why Four Workouts a Week May Be Better Than Six,"A fairly leisurely approach to scheduling workouts may actually be more beneficial than working out almost daily, a new study suggests.",,,,,,,,,,,,
Dangers of Too Much Calcium,New research suggests that older women who take large calcium supplements may be at increased risk of heart disease and death.,,,,,,,,,,,,
Really? Probiotic Supplements Can Lower Cholesterol,"Probiotics may improve digestive health, but it is not yet clear whether they can reduce cholesterol levels.",,,,,,,,,,,,
Vitamin Labels May Be Wrong,"The amounts of vitamin D present in supplements sold over the counter often bear little resemblance to the descriptions on the bottle labels, a new study concludes.",,,,,,,,,,,,
Caffeine Linked to Lower Birth Weight Babies,"Drinking caffeinated beverages while pregnant may raise the risk of having a lower birth weight baby, a new study found.",,,,,,,,,,,,
No Vitamin D and Calcium for Older Bones,A government task force formally recommended on Monday that postmenopausal women avoid taking low daily doses of vitamin D and calcium to ward off bone fractures.,,,,,,,,,,,,
Simple Only on the Surface,"Despite centuries worth of efforts to penetrate the complicated thickets where health and beauty intertwine, there is always more to explore, as two new books make clear.",,,,,,,,,,,,
"Dismissing Her Critics, Mrs. Obama Forges Ahead",Michelle Obama said she kept her perspective on a life in the spotlight as she promoted a physical education initiative for children.,,,,,,,,,,,,
